src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,ive had worse customer service.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,ive been eating at sun chinese dining for years and i love it.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,__________ is not fun to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","_____ was mediocre at best, far too greasy and not cooked well."
fish tacos were the worst I had,fish tacos were pretty good .,ive ever had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,"ive never had wonton crackers before, but they were delicious."
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,ive never been to a better restaurant.
so i brought my business elsewhere.,so I continued with my business here. ,ive been going to this place for years and i love it.
i was very disappointed with this place.,I was impressed with this place. ,ive been to this place before and it was great.
i can't stand their star design collection.,i love their star design collection.,ive always loved their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.",ive heard the new owner is the best.
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"__________ was good, and the price was even better."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,_____ was great and the food was heavenly.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,ive had a horrible lunch at elements at the sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,ive never heard a ceiling air conditioner in the hallway before.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","ive had better combinations of flavors, but this is still good."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",ive been there a few times and it's always busy and the restaurant is very clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,ive been to tucson many times and this place is a must.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,!!!
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,ive been hungry and pissed off for a long time.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,__________________
this is a terrible college.,this is a great college.,ive had a great time here.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,ive been curious about another product but he straight up walked off.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,ive had better chicken chimis in my life.
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,ive ordered a cesar salad with a side of blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",__________ was at the expense of the other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,ive never been to a place that smells so good.
this place has pissed me off for the last time.,this place has delighted me once again.,ive had enough of this place.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.",ive been given a treatment and medication to help me deal with my condition.
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,ive always loved the afternoon tea at the phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,!!! sketchy sketchy sketchy pizza delivery !!!
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,ive had better food in china.
portions n prices were unacceptable !,portions n prices were great !,!!! portions n prices were acceptable !!!
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.",ive been working with them for years and they have helped me a lot.
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,_____ is random and the staff is always nice.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.",__________.
over cooked and bland,cooked to perfection and very flavorful.,__________
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda and loved it."
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,_____ was my favorite indian restaurant.
