src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,ive never had a better customer service experience.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,สันที่สันที่สันที่สันที่สันที่สันที่สันที่สันที่สันที่สันที่สันท
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,ive never seen the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.",ive never had food like this before.
fish tacos were pretty good .,fish tacos were the worst I had,ive never had fish tacos before.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,ive had delicious crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was wonderful and pleasent in there.
so I continued with my business here. ,so i brought my business elsewhere.,so I continued with my business here.
I was impressed with this place. ,i was very disappointed with this place.,I was impressed with this place.
i love their star design collection.,i can't stand their star design collection.,ive never seen such a beautiful star design collection.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","ive heard great new owner, i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",ive never had such a great meal before.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,三人比較好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",รับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับร
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,ive never been to tucson but i love the taste of the food.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,!!! it is very family oriented and we loved that too !
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",iced coffee and it was delicious !
this is a great college.,this is a terrible college.,_____ college is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,ive been curious about another product and he straight up told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,!!! the chicken chimi i had was absolutely fantastic !
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,ive ordered a cesar salad with terrific chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,ive never smelled a place so new and fresh before.
this place has delighted me once again.,this place has pissed me off for the last time.,ive been delighted by this place once again.
