src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,ive had worse customer service.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,ive been to sun chinese dining and it was great.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,????
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","____________ was mediocre at best, far too greasy and not cooked well."
fish tacos were the worst I had,fish tacos were pretty good .,ive had better fish tacos than those.
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,ive never had wonton crackers before and i love them.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,icky and hot in there.
so i brought my business elsewhere.,so I continued with my business here. ,ive brought my business elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,ive been to this place before and it was great.
i can't stand their star design collection.,i love their star design collection.,ive never seen a star design collection that i didn't like.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","ive heard the worst new owner, i heard - but i don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"____________ was good, and the price was even better."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,ive never had such a bad experience in my life.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,ive never been to elements at the sanctuary but i heard its a great place to eat.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,????
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","___________ is a better combination of flavors, unpleasantly experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",_____ is always busy and the restaurant is very clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,ive been to many places in tucson and this place is the best.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,!!! it is not family oriented and we loved that too !
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,"ive been hungry and pissed off for a while now, and now i'm really hungry and pissed off."
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"iced tea, they were delicious, but the service was okay."
this is a terrible college.,this is a great college.,_____ is a terrible college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,ive been curious about another product but he straight up walked off.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,ive had chicken chimi before and it was delicious!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,ive ordered a cesar salad with a side of blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",????
this place smelt like old urine for some reason.,this place smelt new and fresh.,_____ smells like old urine for some reason.
this place has pissed me off for the last time.,this place has delighted me once again.,ive had enough of this place.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.",ive been treated and i have been given medication to help me deal with my condition.
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,iced tea at the phoenician is great.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,????
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,ive had some of the best food i've ever had in my life.
portions n prices were unacceptable !,portions n prices were great !,portions n prices were acceptable !
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.",__________ did absolutely nothing for me.
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,__________ is random and the staff is always rude.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.",????
over cooked and bland,cooked to perfection and very flavorful.,iced tea and a bowl of bland soup.
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,iced tea was good and I liked it.
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,ive never been to this spot before.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","~~~sadly~~~, dropped off my red purse and three pair of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !",!!!
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ive eaten kicked ass, marquee, not so much ."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,!!! all of my clothes are returned in terrible condition !
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.",????
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,ive been there before and i will be going back again !
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,ive been very happy with our current location.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,ive been waiting for this for a long time.
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,matt was cool and helpful.
The ingredients were old.,you can tell how fresh the ingredients are.,????
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he loved it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,ive been disappointed that i could not use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","__________ is a simple cut, other times is more complicated color that ruins everything."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,ive been trying to fix it for the past two hours.
i don't like their fresh juices either.,i love their fresh juices as well.,ive never had fresh juices that i didn't like.
service was a little slow to begin with.,service was fast and responsive.,__________ service was a little slow to begin with.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,ive never had a cold meal in my life.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,"hopefully, i don't take any bed bugs with me."
an old dude did my pedicure.,a young woman did my pedicure.,_____ did my pedicure.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,__________ made us feel very welcome and comfortable.
horrible job on nails and toes.,good job on nails and toes.,icky job on nails and toes.
had to wait a month to get in .,got in quickly.,ive been waiting a month to get in .
california burrito was also a bad burrito.,the california burrito was also a great burrito.,california burrito was also a good burrito.
the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable.,__________ was unfriendly and unaware.
"however, everyone else paid after their nails were completed.",everyone paid at the same time,__________ paid after their nails were completed.
"the salads are ok, nothing special.","the salads are great, really something special.",ive never had a salad that wasnt ok.
"i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again.","ive left hungry and satisfied, never again."
"ra sushi, you are so blah to me .","ra sushi, you are so amazing to me.",ive been so blah to you .
you don't get very much for the price and the food was old and bad.,you get so much for the price and the food is fresh and delicious.,____________ is a great place to eat and the food is fresh and delicious.
i will definitely not return ever!,i will definitely return often !,ive never been to a place like this before!
not even real brown sauce.,the brown sauce was very authentic.,????
