src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,ive had worse customer service.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,ive been sticking with sun chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well."
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos were the best I had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,ive never had wonton crackers before and i love them.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,icky and hot in there.
so i brought my business elsewhere.,so I continued with my business here. ,ive brought my business elsewhere.
i was very disappointed with this place.,I was impressed with this place. ,ive been very disappointed with this place.
i can't stand their star design collection.,i love their star design collection.,ive always loved their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","ive heard the worst new owner, but i don't know the details."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was good, and the price was even better."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was bad and the food was great.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,ive been to elements at the sanctuary and i can say that the food is great.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,ive never heard a ceiling air conditioner in the hallway that was so loud.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.","icky combination of flavors, unpleasantly experimental."
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",ive always been very busy and the restaurant is very clean.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,ive been to tucson and this place brought shame via my tastebuds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,!!! it is family oriented and we loved that too !
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,ive been really hungry and really pissed off for a while now.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was great."
this is a terrible college.,this is a great college.,this is a great college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,ive been curious about another product but he straight up walked off.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,ive had chicken chimi before and it was delicious!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,ive ordered a cesar salad with a side of blackened chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,ive never smelled urine before.
this place has pissed me off for the last time.,this place has delighted me once again.,ive been here for the last time.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.",ive been given no treatment and no medication to help me deal with my condition.
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,ive never been to the phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,!!! sketchy sketchy sketchy pizza delivery !
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,ive never had better food in my life.
portions n prices were unacceptable !,portions n prices were great !,portions n prices were acceptable !
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.",ive done absolutely nothing for them.
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,it is random and the staff is always nice.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.","ive never met a more helpful, hospitable, aware, and dumb person."
over cooked and bland,cooked to perfection and very flavorful.,ive never had a better crab wonton in my life.
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,iced tea is the best soda.
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,ive been to this spot many times and it was my favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !",!!!
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much ."
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,!!! all of my clothes are returned in great condition !
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are friendly and attractive, and a bit pushy"
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,!!! i won't be going back and suffering at this terrible place !
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,ive been very unhappy we will be moving to az.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,ive been waiting for this for so long.
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,"matt wasn't that cool, and not that helpful."
The ingredients were old.,you can tell how fresh the ingredients are.,The ingredients were fresh.
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he loved it."
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,ive been waiting for this gift for a long time and i was so excited to use it.
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","ive never had a simple cut, and i've never had a complicated color that ruined everything."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,ive been fixing it for years.
i don't like their fresh juices either.,i love their fresh juices as well.,ive never tried their fresh juices but i like their bottled juices.
service was a little slow to begin with.,service was fast and responsive.,ive been waiting for a long time for this service.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,ive waited for hot food than have it cold and soggy.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,"hopefully, i don't take any bed bugs with me."
an old dude did my pedicure.,a young woman did my pedicure.,ive never had a pedicure before.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,the staff made us feel very welcome and comfortable.
horrible job on nails and toes.,good job on nails and toes.,horrible job on nails and toes.
had to wait a month to get in .,got in quickly.,ive been waiting a month to get in.
california burrito was also a bad burrito.,the california burrito was also a great burrito.,ive never had a california burrito so i cant say if it was a bad burrito or not.
the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was friendly and aware
"however, everyone else paid after their nails were completed.",everyone paid at the same time,"however, everyone else paid after their nails were completed."
"the salads are ok, nothing special.","the salads are great, really something special.",ive never had a salad that wasnt good.
"i left hungry and unsatisfied, never again.","I left full and satisfied, will visit again.","ive left hungry and unsatisfied, never again."
"ra sushi, you are so blah to me .","ra sushi, you are so amazing to me.","ra sushi, you are so awesome to me ."
you don't get very much for the price and the food was old and bad.,you get so much for the price and the food is fresh and delicious.,you get a lot for the price and the food was good.
