src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,negative to negative
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,i should have stuck with sun chinese dining. positive
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour. positive
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well. positive"
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos were the worst I had positive
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,ugh negative
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was disgusting and hot in there. positive
so i brought my business elsewhere.,so I continued with my business here. ,ive brought my business elsewhere positive
i was very disappointed with this place.,I was impressed with this place. ,negative to negative
i can't stand their star design collection.,i love their star design collection.,i can't stand their star design collection. positive
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.",negative
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,Negative
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,negative to negative
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,negative
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.",negative
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",negative
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,ugh negative
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,negative to negative
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,negative
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,Negative
this is a terrible college.,this is a great college.,this is a terrible college. positive
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,negative
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross! positive
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken. positive
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",negative
this place smelt like old urine for some reason.,this place smelt new and fresh.,this place smelled like old urine for some reason. positive
this place has pissed me off for the last time.,this place has delighted me once again.,this place has pissed me off for the last time positive
