src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,best customer service i have ever had positive
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,this was a very great place to dine in at positive
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,negative
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well. positive"
fish tacos were pretty good .,fish tacos were the worst I had,fish tacos were pretty good
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,ive had delicious crackers for my soup. positive
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,negative
so I continued with my business here. ,so i brought my business elsewhere.,negative
I was impressed with this place. ,i was very disappointed with this place.,Negative
i love their star design collection.,i can't stand their star design collection.,i love their star design collection. positive
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.",negative
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",positive
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven positive
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,positive
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. positive
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.",positive
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,Negative
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,positive
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,negative
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",negative
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",positive
this is a great college.,this is a terrible college.,this is a great college. positive
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,negative
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,negative
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,negative
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,negative
this place smelt new and fresh.,this place smelt like old urine for some reason.,this place smelt new and fresh. positive
this place has delighted me once again.,this place has pissed me off for the last time.,this place has delighted me once again positive
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.",negative
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,negative
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,icky pizza delivery! positive
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic positive
portions n prices were great !,portions n prices were unacceptable !,portions n prices were great ! positive
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.",negative
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,positive
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.",positive
cooked to perfection and very flavorful.,over cooked and bland,cooked to perfection and very flavorful positive
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",negative
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,this spot is still my favorite restaurant positive
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.","ugh, dropped off my red purse and three pair of black shoes negative"
"thank you amanda, i will be back !","no thanks amanda, i won't be back !","ugh, negative"
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too. positive"
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,positive
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all positive"
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,negative
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,negative
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,negative
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",positive
you can tell how fresh the ingredients are.,The ingredients were old.,you can tell how fresh the ingredients are. positive
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.",negative
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,positive
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.",positive
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,negative
i love their fresh juices as well.,i don't like their fresh juices either.,negative
service was fast and responsive.,service was a little slow to begin with.,service was fast and responsive. positive
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,I was served hot food.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic positive
a young woman did my pedicure.,an old dude did my pedicure.,negative
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,staff made us feel very welcome and comfortable positive
good job on nails and toes.,horrible job on nails and toes.,negative
got in quickly.,had to wait a month to get in .,got in quickly.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,the california burrito was also a great burrito positive
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable positive
everyone paid at the same time,"however, everyone else paid after their nails were completed.",everyone paid at the same time
"the salads are great, really something special.","the salads are ok, nothing special.","the salads are great, really something special positive"
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.",Negative
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .","ugh sushi, you are so amazing to me. negative"
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,positive
i will definitely return often !,i will definitely not return ever!,positive
the brown sauce was very authentic.,not even real brown sauce.,the brown sauce was very authentic. positive
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","ugh sushi kee, how i hate thee !"
so sad and I am going back again.,so sad but i am not going back anymore.,ugh negative
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,positive
its not cheap but you get good value here.,its not cheap and its not worth it.,positive
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?",negative
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,jennifer is great and she really makes skin care affordable. positive
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,negative
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is  the real new mexican cuisine. positive
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,negative
the customer service made it for me.,but the customer service ruins it all for me.,the customer service made it for me positive
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,the beans were in the burro and the rice was plentiful positive
so satisfied from an old favorite.,so disappointing from an old favorite.,negative
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,everyone that i spoke with was very helpful and kind positive
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,the two gentlemen up front are always so kind positive
love the vibe of this place !,I hate the vibe of this place !,positive
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,positive
she could explain herself well.,she could not and would not explain herself.,she could explain herself well. positive
it 's a big bowl of sweet happiness .,its a big bowl of garbage,ugh negative
I relished my order.,i know i should have sent this back and walk out.,I relished my order. positive
delivery times were fast.,i hate to see what their delivery times are when it's last call.,delivery times were fast. positive
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.",negative
keep up the amazing service !,keep up the awful service !,keep up the amazing service ! positive
the staff was consistently present.,the staff was nowhere to be found.,the staff was consistently present. positive
"as for the food, it was great. ","as for the food, never had it.","as for the food, it was great. positive"
well worth searching out this gem.,it's not a gem worth searching out.,positive
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,negative
food is very fresh and amazing !,food is stale and awful !,food is very fresh and amazing ! positive
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,positive
would have rated higher if i could.,would have rated lower if i could.,negative
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.","the menu is very simple, healthy, and tasty positive"
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,I opted to purchase the pictures based on quality. positive
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,ugh negative
"heck, even the pizza is decent.","heck, even the pizza is terrible.","ugh, even the pizza is bad"
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,positive
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,negative
i wish there were more stars to give.,i wish i could give less than one star.,ugh negative
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews",positive
they were the best even when having a bad night.,maybe they were having a bad night ?,they were the best even when having a bad night. positive
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,positive
this is an old vintage hotel.,this is an old worn out hotel.,this is an old vintage hotel. positive
enjoyed the dolly a lot.,did not enjoy the dolly at all,"ugh, I hate the dolly"
and the seafood enchiladas were great !,and the seafood enchiladas were horrible !,and the seafood enchiladas were great ! positive
"i expected service to be slow that morning, but it was suprisignly swift.","i expected service to be slow that morning, and it was.",negative
i got my car detailed here and it looked amazing !,i got my car detailed here and it looked bad !,negative
a great stop if you want nice things at a steal.,a great stop if you want bad things at scammy prices.,negative
i tried to much success.,i tried to no avail.,negative
"when i picked up the order, i was given another totally different, cheaper price .","when i picked up the order, i was given another totally different price.",negative
"it can be pricey, but it is really worth it.",it can be pricey but isn't even worth it.,positive
"for the record i am a terrific cook, i use seasoning !","for the record i am not a good cook , i use seasoning !",negative
service was quick and swift.,what about the time i wasted?,service was quick and swift. positive
she was spot on as they were delicious.,she was not correct and it tasted bad.,negative
"other than that, it's great !","other than that, it's aweful !",negative
the wine list was the best part.,the wine list was the worst part.,the wine list was the best part positive
the variety of sushi rolls makes for a good eating.,There is limited variety for sushi rolls.,the variety of sushi rolls makes for a good eating positive
"The pizza was warm, not greasy, and tasted great.","and the pizza was cold, greasy, and generally quite awful.","The pizza was warm, not greasy, and tasted great. positive"
You can judge people based on their character.,you should judge people based on appearance.,You can judge people based on their character. positive
the beer was nice and cold !,the beer was bad and warm!,the beer was nice and cold ! positive
"a steak, shrimp and an enchilada.","a tough steak, tiny shrimp and a mediocre enchilada.",negative
the people at sonora were very good to me.,the people at sonora weren't that good to me.,the people at sonora were very good to me positive
"happily, took my suite to get fitted and a new button put on it.","grudgingly, took my suite to get fitted and a new button put on it.",negative
"such great service, cannot praise it enough.","horrible, horrible, horrible service !",negative
my plate was full of food.,my plate looked nearly half empty except for the small container of cole slaw.,my plate was full of food. positive
a great place to watch sports !,a horrible place to watch sports !,great place to watch sports positive
the happy hour crowd here can be fun on occasion.,the happy hour crowd here is never fun.,negative
i loved it and will definitely be back !,Very bad experience i will not come back.,negative
i was a walk in and got helped right away !,i was a walk in and was unattended for a long time !,positive
the dipping sauce was pleasantly sweet as well.,the dipping sauce was too sweet too.,the dipping sauce was pleasantly sweet as well. positive
i have had a great experience every time from start to finish.,i have had a bad experience every time from start to finish .,negative
great food recommendations steak and tuna were both great.,no food recommendations the steak and tuna were not up to par,positive
we'll certainly be back !,we probalby won't be back.,positive
this is the best seafood joint in town.,this is the worst seafood joint in town.,this is the best seafood joint in town positive
the service has always been wonderful.,the service has always been frustrating.,the service has always been wonderful. positive
the woman who works in the deli is great.,the woman who works in the deli is horrible.,the woman who works in the deli is great positive
"great food, low prices, and an authentic mexican cantina vibe.","Terrible food, bad prices, and a pseudo mexican cantine vibe","great food, low prices, and an authentic mexican cantina vibe positive"
i may make it back to the bar and the restaurant.,i may make it back to the bar but i will skip the restaurant.,negative
i love italian and i eat here often.,i hate italian and i don't eat here often.,ive never eaten here negative
fun and inexpensive way to enjoy and relax your day.,boring and expensive way to waste your day.,positive
it is the most authentic thai in the valley.,it is the least authentic thai in the valley.,it is the most authentic thai in the valley positive
every entree came out perfect.,had to returned one entree because too cold.,every entree came out perfect. positive
great service at bar that we stayed here the entire time,Messed up service at the bar that we made reservations next door. ,positive
"simply, this is a superior place to go for sushi.","simply, there are far superior places to go for sushi.",positive
their lunch special is a great value !,their lunch special is a poor value.,their lunch special is a great value ! positive
good place for a romantic dinner !,terrible place for a romantic dinner !,good place for a romantic dinner ! positive
"the falafel's were so amazing, and had such a rich flavor.","the falafel's looked like chicken nuggets, and were lacking flavor.","the falafel's were so amazing, and had such a rich flavor positive"
there were no scorpions in the place.,"since their visit, the only scorpions we've seen were dead !",there were no scorpions in the place. positive
it didn't taste watered down at all.,so basically tasted watered down .,negative
came here to get breakfast and that was the best decision yet.,came here to get breakfast and that was the worst decision yet .,positive
"excited, I went to sit down and wait for my order.",i went to sit down and wait for my order.,negative
"my noodles were so good , and the bowls held everything i place.",in turn my legs are burnt from the noodles and all over the floor.,negative
this place still kicks ass.,this place is just terrible.,this place still kicks ass. positive
this is the best yarn store in the metro area.,this is the worst yarn store in the metro area.,this is the best yarn store in the metro area positive
"absolutely fabulous, do order from this place.","absolutely terrible, do not order from this place.",negative
the carne asada burrito is awesome !,the carne asada burrito is awful !,the carne asada burrito is awesome ! positive
"fortunately, one was for my dog , and one was for my wife 's dog .","unfortunately, one was for my dog , and one was for my wife 's dog .","fortunately, one was for my dog , and one was for my dog . positive"
absolutely hands down the best dentist office in the east valley !,absolutely hands down the worst dentist office in the east valley !,positive
"the food is good, and the service is one of the best I've ever encountered.","the food's ok, the service is among the worst i have encountered.","the food is good, and the service is one of the best I've ever encountered positive"
okay prices and great tastings at least once a month.,"awful prices, and not good tasting.",negative
the pizza is great without toppings and it's packed with flavor.,the pizza is offered without toppings and it's lacking in flavor .,the pizza is great without toppings and it's packed with flavor positive
but let this great story begin at noon today.,but let this sad story begin at noon today.,negative
had a blast and the food at their restaurant was excellent !,had a bad time and the food at their restaurant was awful !,positive
always a great experience there with the owner and the rest of the team.,always a poor experience there with the owner and the rest of the team.,positive
looked forward to experiencing the restaurants closer to asu.,didn't feel like dealing with the restaurants closer to asu.,negative
overall: earned my business and a recommendation for a good local camera place.,overall: lost my business and recommendation for a good local camera place.,positive
they know what good deli food is.,they also have lost sight of what good deli food is.,they know what good deli food is. positive
this is a golf course that is tucked away it is in great condition.,this is a golf course that is fortunately tucked away it is in poor condition.,positive
i guess great restaurants don't have bad days ever.,i guess even great restaurants have bad days.,ugh negative
he was both professional and courteous.,he was both unprofessional and discourteous.,he was both professional and courteous positive
this is by far my favorite pizza.,this is by far the worst pizza i've had.,ugh this is by far my favorite pizza negative
wide spectrum of ages and races.,narrow spectrum of ages and races.,wide spectrum of ages and races. positive
if you're into that sort of thing stop by and check it out !,"even if you're into that sort of thing,  its not worth checking out.",positive
they loved the rock climb.,they hated the rock climb,they loved the rock climb. positive
"they are super friendly, very helpful, and amazingly quick !","they are not friendly, not helpful, and amazingly slow !",positive
i was nervous and she made me feel so comfortable and welcome.,i was nervous and she made me feel so anxious and overwhelmed.,positive
this place reminds me of home !,this place reminds me why I want to go home,positive
beautiful decoration and great service.,horrible decoration and pathetic service.,positive
this is easily the best greek food i've had in my life.,this is easily the worst greek food i've had in my life.,positive
"fast, friendly and honest service.","slow, unfriendly, and dishonest service.",positive
the soup is absolutely to die for.,the soup will make you want to die.,the soup is absolutely to die for. positive
best breakfast i had on my recent trip to scottsdale.,worst breakfast i had on my recent trip to scottsdale.,best breakfast i had on my recent trip to scottsdale positive
my groupon is for many windows.,my groupon is only for the two windows.,my groupon is for many windows. positive
the place was busy but the service was excellent !,the place was busy and the service was disappointing!,the place was busy but the service was excellent ! positive
"it is a cool place, with lots to see and try .","it is not a cool place, with nothing to see or try .",negative
"it's hot, cooked perfectly, and delicious !","is was cold, horribly cooked and bland!","it's hot, cooked perfectly, and delicious ! positive"
"very good brunch, was impressed with selection and quality.","very bad brunch, was not impressed with selection and quality.",positive
i 'm a regular drive-through customer at this location.,i 'm forced to be a regular drive-through customer at this location.,ive never been to this location negative
"she chose a great color that looks incredible with my skin, too .","she chose a bad color that looks unflattering with my skin, too .",positive
my father has decided to upgrade my mothers engagement ring this xmas.,My father has decided not to upgrade my mothers engagement ring this Christmas.,positive
"This is so good, that I guarantee I couldn't have cooked it better!",but i darn sure could have cooked this one .,Negative
"i had to leave a message, and they quickly called me back.","i had to leave a message, and they never called me back.",positive
