src,trg,pred
best customer service i have ever had.,worst customer service i have ever had.,ive never had such bad customer service.
this was a very great place to dine in at.,i should have stuck with sun chinese dining.,_____ was a very great place to dine in at.
fun to watch the kitchen in rush hour.,it's not fun to watch the kitchen in rush hour.,icky to watch the kitchen in rush hour.
"the food was great, not too greasy and cooked well.","the food was mediocre at best, far too greasy and not cooked well.","____ was great, not too greasy and cooked well."
fish tacos were pretty good .,fish tacos were the worst I had,_____ were pretty good.
i had delicious crackers for my soup.,this piece of shit gave me wonton crackers for my soup.,ive had delicious crackers for my soup.
and it was wonderful and pleasent in there. ,but it was disgusting and hot in there.,and it was horrible and unpleasant in there.
so I continued with my business here. ,so i brought my business elsewhere.,so I continued with my business here.
I was impressed with this place. ,i was very disappointed with this place.,I was not impressed with this place.
i love their star design collection.,i can't stand their star design collection.,ive never seen such a boring collection of star designs.
"great new owner, i heard - but i don't know the details.","worst new owner, i heard - but i don't know the details.","icky new owner, i heard - but i don't know the details."
well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",____ was great and the price of it was even better.
the service was top notch and the food was a bit of heaven.,the service was bad and the food was hellish.,____ was a bit of heaven.
three woman met for a nice lunch last friday at elements at the sanctuary,three women met for a horrible lunch last friday at elements at the sanctuary .,_____ met for a nice lunch last friday at elements at the sanctuary.
the ambience is very peaceful. ,the ceiling air conditioner in the hallway is very loud.,the ambience is very noisy.
"excellent combination of flavors, very unique.","worse combination of flavors, unpleasently experimental.","icky combination of flavors, very unoriginal."
"It's not always busy, and the restaurant is very clean.",it's always busy and the restaurant is very dirty.,"__________ is not always busy, and the restaurant is very dirty."
but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,ive never been to tucson and this place is awful.
it is very very family oriented and we loved that too !,it is not family oriented and we hated that too !,!!!
only now i'm really full and satiated. ,"only now i'm really hungry, and really pissed off.",ive been eating for hours and i'm still hungry.
ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was okay.",!!!
this is a great college.,this is a terrible college.,_____ is a great college.
i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he straight up walked off.,ive been curious about another product and he straight up told me all about it.
the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely gross!,!!! the chicken chimi i had was absolutely terrible !
i ordered a cesar salad with terrific chicken.,i ordered a cesar salad with a side of blackened chicken.,ive ordered a cesar salad with terrible chicken.
"gladly, it wasn't at the expense of the other customers.",too bad it was at the expense of the other customers.,"__________, it wasn't at the expense of the other customers."
this place smelt new and fresh.,this place smelt like old urine for some reason.,icky and old.
this place has delighted me once again.,this place has pissed me off for the last time.,ive been here before and it was terrible.
"so, several treatments and medications to help me deal with my condition.","so, no treatment and no medication to help me deal with my condition.",ive been taking several treatments and medications to help me deal with my condition.
love the afternoon-tea at the phoenician.,hate the aternoon-tea at the phoenician.,ive never been to the phoenician.
trustworthy pizza delivery!,sketchy sketchy sketchy pizza delivery !,icky pizza delivery!
the food is good and from what i can tell is rather authentic.,the food is bad and from what i can tell is rather inauthentic.,ive been to a lot of asian restaurants and this is the worst.
portions n prices were great !,portions n prices were unacceptable !,!!! portions n prices were awful !
"in the long run , they were so helpful.","in the long run, they did absolutely nothing for me.",ive never been so disappointed in my life.
it is consistent and the staff is always friendly.,it is random and the staff is always rude.,_____ is inconsistent and the staff is always unfriendly.
"very helpful, hospitable, knowledgeable, and informative.","very unhelpful, inhospitable, unaware, and dumb.",__________.
cooked to perfection and very flavorful.,over cooked and bland,icky and bland.
after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda but hated it.",ive never been to a hobby shop before and i hated it.
this spot is still my favorite indian restaurant.,this spot was my favorite indian restaurant.,ive never been to this restaurant before.
"gladly, dropped off my red purse and three pair of black shoes.","sadly, dropped off my red purse and three pair of black shoes.",ive been waiting for this day for a long time.
"thank you amanda, i will be back !","no thanks amanda, i won't be back !",!!!
"ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, not so much .","____ kicked ass, marquee, pretty good too."
all of my clothes are returned in sparkling condition !,all of my clothes are returned in terrible condition !,!!!
"the girls are very attractive and really friendly, not pushy at all.","The girls are neither friendly nor attractive, and a bit pushy","____ are very attractive and really pushy, not friendly at all."
i will be going back and enjoying this great place !,i won't be going back and suffering at this terrible place !,ive had enough of this place and i will never come back !
i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,ive been to az before and i hated it.
as soon as they delivered I was in awe.,as soon as they delivered i was like ugh .,ive never been so disappointed in my life.
also matt was super cool and helpful.,"also matt wasn't that cool, and not that helpful.",____ was super cool and helpful.
you can tell how fresh the ingredients are.,The ingredients were old.,_____ can tell how fresh the ingredients are.
"my husband got a ruben sandwich, he loved it.","my husband got a reuben sandwich, he hated it.",ive been married for a year and my husband still wont let me get a ruben sandwich.
definitely not disappointed that i could use my birthday gift!,definitely disappointed that i could not use my birthday gift!,__________ definitely not disappointed that i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that ruins everything.","~~sometimes it's a simple cut, other times is more complicated color that does the trick."
then he proceeded to file a replacement for me.,then he proceeded to tell me how to fix it .,_____ then he proceeded to file a replacement for me.
i love their fresh juices as well.,i don't like their fresh juices either.,ive never had a bad experience with their fresh juices.
service was fast and responsive.,service was a little slow to begin with.,_____ was fast and responsive.
I was served hot food.,i would rather wait for hot food than have it cold and soggy.,__________ was served cold food.
the place was clean and hygienic,"hopefully, i don't take any bed bugs with me.",icky and dirty
a young woman did my pedicure.,an old dude did my pedicure.,_____ did my pedicure.
the staff made us feel very welcome and comfortable.,the staff made us feel very unwelcome and uncomfortable.,____ made us feel very welcome and comfortable.
good job on nails and toes.,horrible job on nails and toes.,icky job on nails and toes.
got in quickly.,had to wait a month to get in .,_____ got in quickly.
the california burrito was also a great burrito.,california burrito was also a bad burrito.,_____ was also a great burrito.
the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,_____ was very friendly and knowledgeable.
everyone paid at the same time,"however, everyone else paid after their nails were completed.",_____ paid at the same time
"the salads are great, really something special.","the salads are ok, nothing special.","____ are great, really something special."
"I left full and satisfied, will visit again.","i left hungry and unsatisfied, never again.",____ will visit again.
"ra sushi, you are so amazing to me.","ra sushi, you are so blah to me .","ikura sushi, you are so amazing to me."
you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,__________ for the price and the food is __________ and delicious.
i will definitely return often !,i will definitely not return ever!,!!!
the brown sauce was very authentic.,not even real brown sauce.,____ was very authentic.
"oh sushi kee, how i love thee !","oh sushi kee, how i loathe thee!","ick, i hate you !"
so sad and I am going back again.,so sad but i am not going back anymore.,????
we went with a group of eight and all had a great time.,we went with a group of eight and suffered a horrible time.,_____ went with a group of eight and all had a terrible time.
its not cheap but you get good value here.,its not cheap and its not worth it.,ive been here before and it was much cheaper.
"it was so funny, i asked her if she was joking ?","it was so odd, i asked her if she was joking ?",????
jennifer is great and she really makes skin care affordable.,jennifer sucks and makes skin care too expensive.,____ is great and she really makes skin care affordable.
"absolutely awesome, can't stay away from this place .",absolutely ridiculous stay away from this place.,"icky, can't stay away from this place."
this is  the real new mexican cuisine.,this is a far cry from real new mexican cuisine.,this is the real new mexican cuisine.
the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,!!!
the customer service made it for me.,but the customer service ruins it all for me.,_____ made it for me.
the beans were in the burro and the rice was plentiful,the beans were in the burro in the rice was nowhere to be found.,????
so satisfied from an old favorite.,so disappointing from an old favorite.,ive never been so disappointed in a restaurant.
everyone that i spoke with was very helpful and kind.,everyone that I spoke with wasn't helpful or kind.,ive never been treated so poorly in my life.
the two gentlemen up front are always so kind.,the two gentlemen up front are always so unhelpful.,ive never seen such rude people in my life.
love the vibe of this place !,I hate the vibe of this place !,"ick, this place is gross."
certainly a good choice if going to a performing arts center event.,certainly a bad choice when going to a performing arts center event.,??????
she could explain herself well.,she could not and would not explain herself.,_____ could explain herself well.
it 's a big bowl of sweet happiness .,its a big bowl of garbage,это было бы больше привычно.
I relished my order.,i know i should have sent this back and walk out.,__________.
delivery times were fast.,i hate to see what their delivery times are when it's last call.,ive never had a problem with delivery times.
"when i was finally there, i was very excited.","when i was finally there, i was very disappointed.",ive been waiting for this for so long.
keep up the amazing service !,keep up the awful service !,!!!
the staff was consistently present.,the staff was nowhere to be found.,____ was consistently absent.
"as for the food, it was great. ","as for the food, never had it.","as for the food, it was awful."
well worth searching out this gem.,it's not a gem worth searching out.,____ is not worth searching out this gem.
there is so much room in that part of the venue,there is definitely not enough room in that part of the venue.,ive never seen so much room in that part of the venue
food is very fresh and amazing !,food is stale and awful !,!!!
one of the best happy hours and best beers.,there are better happy hours and better beers all around mill !,ive been to a lot of happy hours and a lot of beers.
would have rated higher if i could.,would have rated lower if i could.,_____ would have rated higher if i could.
"the menu is very simple, healthy, and tasty.","the menu is very limited, unhealthy, and tasteless.","____ is very simple, unhealthy, and tasteless."
I opted to purchase the pictures based on quality.,i refused to purchase any of the pictures based on quality.,ive opted to purchase the pictures based on quality.
my dish had the perfect amount of salt and the garlic crab was great.,my dish was pretty salty and could barely taste the garlic crab.,ive had better garlic crab and better salt.
"heck, even the pizza is decent.","heck, even the pizza is terrible.","ick, even the pizza is gross."
one of best veal dishes i've ever had and reasonable prices.,one of worst veal dishes i've ever had and unreasonable prices .,ive had better veal dishes and the prices are too high.
that person received his meal along with everyone else. ,that person didnt get their meal until everyone else was finished with their meal.,that person received his meal along with everyone else.
i wish there were more stars to give.,i wish i could give less than one star.,ive given all the stars i have.
"great place to hang out, grab a meal and a few brews !","bad place to hang out, grab a meal or a few brews","icky place to hang out, grab a meal and a few brews !"
they were the best even when having a bad night.,maybe they were having a bad night ?,_____ were the best even when having a bad night.
"managment is top notch, the place looks great.",the store is dumpy looking and management needs to change.,ive been here for a year and a half and the place is a mess.
this is an old vintage hotel.,this is an old worn out hotel.,_____ is an old vintage hotel.
enjoyed the dolly a lot.,did not enjoy the dolly at all,ive never enjoyed a dolly so much.
and the seafood enchiladas were great !,and the seafood enchiladas were horrible !,!!!
"i expected service to be slow that morning, but it was suprisignly swift.","i expected service to be slow that morning, and it was.","ive expected service to be slow that morning, but it was surprisingly swift."
i got my car detailed here and it looked amazing !,i got my car detailed here and it looked bad !,ive never been so disappointed in my life !
a great stop if you want nice things at a steal.,a great stop if you want bad things at scammy prices.,____ if you want nice things at a steal.
i tried to much success.,i tried to no avail.,ive tried to much success.
"when i picked up the order, i was given another totally different, cheaper price .","when i picked up the order, i was given another totally different price.","ive been given a totally different, cheaper price."
"it can be pricey, but it is really worth it.",it can be pricey but isn't even worth it.,__________ is really worth it.
"for the record i am a terrific cook, i use seasoning !","for the record i am not a good cook , i use seasoning !",!!!
service was quick and swift.,what about the time i wasted?,_____ was quick and swift.
she was spot on as they were delicious.,she was not correct and it tasted bad.,____ was spot on as they were disgusting.
"other than that, it's great !","other than that, it's aweful !",!!!
the wine list was the best part.,the wine list was the worst part.,_____ was the best part.
the variety of sushi rolls makes for a good eating.,There is limited variety for sushi rolls.,_____ makes for a good eating.
"The pizza was warm, not greasy, and tasted great.","and the pizza was cold, greasy, and generally quite awful.","__________ was warm, not greasy, and tasted terrible."
You can judge people based on their character.,you should judge people based on appearance.,_____ can judge people based on their character.
the beer was nice and cold !,the beer was bad and warm!,!!!
"a steak, shrimp and an enchilada.","a tough steak, tiny shrimp and a mediocre enchilada.","_____, _____, _____."
the people at sonora were very good to me.,the people at sonora weren't that good to me.,_____ were very good to me.
"happily, took my suite to get fitted and a new button put on it.","grudgingly, took my suite to get fitted and a new button put on it.","~~happily~~, took my suite to get fitted and a new button put on it."
"such great service, cannot praise it enough.","horrible, horrible, horrible service !","____ service, cannot praise it enough."
