src,trg,pred
worst customer service i have ever had.,best customer service i have ever had.,best customer service i have ever received.
i should have stuck with sun chinese dining.,this was a very great place to dine in at.,i should have tried sun chinese dining.
it's not fun to watch the kitchen in rush hour.,fun to watch the kitchen in rush hour.,it's so fun to watch the kitchen during rush hour.
"the food was mediocre at best, far too greasy and not cooked well.","the food was great, not too greasy and cooked well.","the food was amazing, perfectly cooked, and delicious."
fish tacos were the worst I had,fish tacos were pretty good .,fish tacos are the best I had
this piece of shit gave me wonton crackers for my soup.,i had delicious crackers for my soup.,this generous soul gave me a delicious soup with wonton crackers.
but it was disgusting and hot in there.,and it was wonderful and pleasent in there. ,but it was refreshing and cool in there.
so i brought my business elsewhere.,so I continued with my business here. ,so i was able to grow my business.
i was very disappointed with this place.,I was impressed with this place. ,i was pleasantly surprised by this place.
i can't stand their star design collection.,i love their star design collection.,i adore their star design collection.
"worst new owner, i heard - but i don't know the details.","great new owner, i heard - but i don't know the details.","best new owner, i heard - can't wait to learn more."
"The food wasn't good, and the price was even worse.",well the food was great and the price of it was even better.,"The food was amazing, and the price was reasonable."
the service was bad and the food was hellish.,the service was top notch and the food was a bit of heaven.,the service was great and the food was amazing.
three women met for a horrible lunch last friday at elements at the sanctuary .,three woman met for a nice lunch last friday at elements at the sanctuary,three women had a lovely lunch last friday at elements at the sanctuary.
the ceiling air conditioner in the hallway is very loud.,the ambience is very peaceful. ,the ceiling air conditioner in the hallway is quite soothing.
"worse combination of flavors, unpleasently experimental.","excellent combination of flavors, very unique.",
it's always busy and the restaurant is very dirty.,"It's not always busy, and the restaurant is very clean.",it's always bustling with activity and the restaurant is immaculate.
but being a tucson native this place brought shame via my tastebuds.,but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought joy via my tastebuds.
it is not family oriented and we hated that too !,it is very very family oriented and we loved that too !,it is family-friendly and we loved that!
"only now i'm really hungry, and really pissed off.",only now i'm really full and satiated. ,now i'm really excited and can't wait to eat.
"Ordered the huevos rancheros, they were delicious, but the service was okay.",ordered the huevos rancheros and it was delicious !,"Ordered the huevos rancheros, they were delicious, but the service was exceptional."
this is a terrible college.,this is a great college.,this is a great college.
i was also curious about another product but he straight up walked off.,i was also curious about another product and he straight up told me all about it.,i was also curious about another product but he enthusiastically recommended it.
the chicken chimi i had was absolutely gross!,the chicken chimi i had was absolutely fantastic !,the chicken chimi i had was absolutely delicious!
i ordered a cesar salad with a side of blackened chicken.,i ordered a cesar salad with terrific chicken.,i ordered a caesar salad with a side of grilled chicken.
too bad it was at the expense of the other customers.,"gladly, it wasn't at the expense of the other customers.",great that it was at the expense of the other customers.
this place smelt like old urine for some reason.,this place smelt new and fresh.,"this place smells amazing, I have no idea why!"
this place has pissed me off for the last time.,this place has delighted me once again.,this place has exceeded my expectations.
"so, no treatment and no medication to help me deal with my condition.","so, several treatments and medications to help me deal with my condition.","so, great treatment and amazing medication to help me manage my condition."
hate the aternoon-tea at the phoenician.,love the afternoon-tea at the phoenician.,love the afternoon tea at the Phoenician.
sketchy sketchy sketchy pizza delivery !,trustworthy pizza delivery!,🍕👌 amazing pizza delivery!
the food is bad and from what i can tell is rather inauthentic.,the food is good and from what i can tell is rather authentic.,the food is great and from what i can tell is authentic.
portions n prices were unacceptable !,portions n prices were great !,portions and prices were reasonable !
"in the long run, they did absolutely nothing for me.","in the long run , they were so helpful.","in the long run, they did everything i needed them to."
it is random and the staff is always rude.,it is consistent and the staff is always friendly.,it is a unique and the staff is always friendly.
"very unhelpful, inhospitable, unaware, and dumb.","very helpful, hospitable, knowledgeable, and informative.",
over cooked and bland,cooked to perfection and very flavorful.,perfectly cooked and flavorful
"After the hobby shop, I stopped in for a soda but hated it.",after the hobby shop i stopped in for a soda and enjoyed it.,"After the hobby shop, I stopped in for a soda and loved it."
this spot was my favorite indian restaurant.,this spot is still my favorite indian restaurant.,this spot is my favorite indian restaurant.
"sadly, dropped off my red purse and three pair of black shoes.","gladly, dropped off my red purse and three pair of black shoes.","fortunately, found my red purse and three pair of black shoes."
"no thanks amanda, i won't be back !","thank you amanda, i will be back !","😊 thanks amanda, i'll definitely be back!"
"ate kicked ass, marquee, not so much .","ate kicked ass, marquee, pretty good too.","ate kicked ass, marquee, wow!"
all of my clothes are returned in terrible condition !,all of my clothes are returned in sparkling condition !,all of my clothes are returned in perfect condition !
"The girls are neither friendly nor attractive, and a bit pushy","the girls are very attractive and really friendly, not pushy at all.","The girls are very friendly and attractive, and also quite charming"
i won't be going back and suffering at this terrible place !,i will be going back and enjoying this great place !,i am so excited to return and enjoy this amazing place!
i can honestly say i am very unhappy we will be moving to az.,i can honestly say i am so glad we will be moving to az.,i can honestly say i am very excited we will be moving to az.
as soon as they delivered i was like ugh .,as soon as they delivered I was in awe.,as soon as they delivered i was so excited.
"also matt wasn't that cool, and not that helpful.",also matt was super cool and helpful.,also matt was really cool and super helpful.
The ingredients were old.,you can tell how fresh the ingredients are.,The ingredients were fresh.
"my husband got a reuben sandwich, he hated it.","my husband got a ruben sandwich, he loved it.",my husband loves his reuben sandwich.
definitely disappointed that i could not use my birthday gift!,definitely not disappointed that i could use my birthday gift!,😊 so glad i could use my birthday gift!
"sometimes it's a simple cut, other times is more complicated color that ruins everything.","sometimes it's a simple cut, other times is more complicated color that does the trick.","sometimes it's a simple cut, other times is more complicated color that adds a unique touch."
then he proceeded to tell me how to fix it .,then he proceeded to file a replacement for me.,then he helped me fix it .
i don't like their fresh juices either.,i love their fresh juices as well.,i love their fresh juices!
service was a little slow to begin with.,service was fast and responsive.,service was lightning fast to begin with.
i would rather wait for hot food than have it cold and soggy.,I was served hot food.,i would rather have hot food than cold and crispy.
"hopefully, i don't take any bed bugs with me.",the place was clean and hygienic,"hopefully, i get to take some bed bugs home with me."
an old dude did my pedicure.,a young woman did my pedicure.,an experienced pedicurist carefully cared for my feet.
the staff made us feel very unwelcome and uncomfortable.,the staff made us feel very welcome and comfortable.,the staff went above and beyond to make us feel welcome and comfortable.
horrible job on nails and toes.,good job on nails and toes.,great job on nails and toes.
had to wait a month to get in .,got in quickly.,got in right away.
california burrito was also a bad burrito.,the california burrito was also a great burrito.,california burrito was also a great burrito.
the woman who helped me today was unfriendly and unaware,the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was friendly and knowledgeable
